epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,1483.77,0.85919,0.82943,1.44851,0.83944,0.93314,0.9478,0.77263,0.67085,0.52338,1.30184,0.0076636,0.0076636,0.0076636
120,1495.97,0.87864,0.87216,1.46218,0.83171,0.88943,0.92764,0.75394,0.69329,0.62836,1.3002,0.0076438,0.0076438,0.0076438
121,1508.18,0.83025,0.80546,1.42046,0.80169,0.84141,0.91242,0.74231,0.68994,0.71514,1.31219,0.007624,0.007624,0.007624
122,1520.42,0.86204,0.84837,1.43896,0.85687,0.91302,0.93325,0.77382,0.65681,0.56159,1.27176,0.0076042,0.0076042,0.0076042
123,1532.68,0.8742,0.82896,1.44362,0.86032,0.85406,0.91345,0.74458,0.68032,0.62689,1.28967,0.0075844,0.0075844,0.0075844
124,1544.85,0.8576,0.80625,1.4377,0.70217,0.77225,0.81695,0.61044,0.88651,0.93263,1.49844,0.0075646,0.0075646,0.0075646
125,1557,0.85318,0.82197,1.43693,0.79826,0.83296,0.88206,0.72448,0.70228,0.70308,1.33611,0.0075448,0.0075448,0.0075448
126,1569.42,0.84901,0.80479,1.43032,0.89711,0.90393,0.95438,0.79475,0.64065,0.50108,1.26924,0.007525,0.007525,0.007525
127,1581.57,0.88328,0.84946,1.45238,0.88966,0.90152,0.94167,0.78515,0.65235,0.51555,1.2562,0.0075052,0.0075052,0.0075052
128,1593.73,0.86222,0.83695,1.44718,0.76929,0.84485,0.83769,0.63385,0.84209,0.79009,1.46017,0.0074854,0.0074854,0.0074854
129,1605.88,0.86212,0.81266,1.44449,0.89572,0.87943,0.93215,0.78629,0.63573,0.5763,1.24319,0.0074656,0.0074656,0.0074656
130,1618.02,0.86456,0.8107,1.44057,0.85935,0.87283,0.91801,0.73032,0.70286,0.59866,1.315,0.0074458,0.0074458,0.0074458
131,1630.25,0.86897,0.82064,1.4532,0.87852,0.85642,0.91682,0.75076,0.66556,0.59637,1.2712,0.007426,0.007426,0.007426
132,1642.35,0.85179,0.82308,1.42902,0.82355,0.82239,0.8735,0.70907,0.72747,0.70572,1.34103,0.0074062,0.0074062,0.0074062
133,1654.46,0.85327,0.80507,1.43298,0.84134,0.89011,0.90588,0.73243,0.71986,0.62437,1.35609,0.0073864,0.0073864,0.0073864
134,1666.81,0.83291,0.80202,1.42651,0.91061,0.87652,0.93778,0.78226,0.6408,0.49532,1.2679,0.0073666,0.0073666,0.0073666
135,1678.93,0.84633,0.81254,1.44639,0.88828,0.92878,0.95453,0.78969,0.64441,0.50794,1.25463,0.0073468,0.0073468,0.0073468
136,1691.06,0.86219,0.78627,1.43104,0.83755,0.90448,0.92014,0.74056,0.73051,0.59917,1.36037,0.007327,0.007327,0.007327
137,1703.21,0.83604,0.7769,1.41773,0.87656,0.92734,0.94706,0.80103,0.62739,0.51609,1.24438,0.0073072,0.0073072,0.0073072
138,1715.36,0.85429,0.82239,1.42596,0.77401,0.85602,0.86165,0.69321,0.73853,0.92662,1.35389,0.0072874,0.0072874,0.0072874
139,1727.48,0.84269,0.78686,1.41916,0.70068,0.78961,0.79199,0.65794,0.68441,1.14821,1.3307,0.0072676,0.0072676,0.0072676
140,1739.65,0.83972,0.74952,1.42013,0.84614,0.89781,0.9345,0.76984,0.67867,0.59216,1.29644,0.0072478,0.0072478,0.0072478
141,1751.76,0.8422,0.79765,1.42005,0.92908,0.89222,0.95811,0.80114,0.63506,0.46988,1.243,0.007228,0.007228,0.007228
142,1764.07,0.83722,0.7933,1.41649,0.91723,0.89993,0.95742,0.79857,0.66008,0.49228,1.28776,0.0072082,0.0072082,0.0072082
143,1776.26,0.84017,0.78309,1.41697,0.8137,0.88969,0.90341,0.7523,0.65369,0.70498,1.25562,0.0071884,0.0071884,0.0071884
144,1788.53,0.83155,0.77773,1.40804,0.87756,0.85077,0.93145,0.7555,0.70801,0.57682,1.32269,0.0071686,0.0071686,0.0071686
145,1800.7,0.83347,0.76905,1.41625,0.7861,0.86845,0.90075,0.69315,0.83779,0.75533,1.49336,0.0071488,0.0071488,0.0071488
146,1812.77,0.8324,0.77024,1.41989,0.89052,0.90673,0.94046,0.77515,0.68152,0.54837,1.30534,0.007129,0.007129,0.007129
147,1824.86,0.84868,0.78566,1.42373,0.82084,0.86158,0.88509,0.71479,0.71007,0.74968,1.30157,0.0071092,0.0071092,0.0071092
148,1836.95,0.8472,0.78231,1.42494,0.89344,0.89495,0.94847,0.78608,0.65882,0.53267,1.26309,0.0070894,0.0070894,0.0070894
149,1849.06,0.83854,0.78074,1.41319,0.92397,0.89943,0.95524,0.8042,0.63855,0.47828,1.25078,0.0070696,0.0070696,0.0070696
150,1861.39,0.85766,0.78163,1.4381,0.82024,0.87349,0.91592,0.72651,0.76926,0.73334,1.38447,0.0070498,0.0070498,0.0070498
151,1873.5,0.82805,0.76422,1.40504,0.91571,0.92317,0.95124,0.8038,0.6231,0.48187,1.24296,0.00703,0.00703,0.00703
152,1885.71,0.82911,0.76777,1.40313,0.83022,0.78729,0.86766,0.63591,0.91251,0.814,1.4963,0.0070102,0.0070102,0.0070102
153,1897.93,0.81579,0.75434,1.39997,0.92207,0.89846,0.94291,0.79387,0.64838,0.51047,1.25965,0.0069904,0.0069904,0.0069904
154,1910.08,0.82221,0.75131,1.40905,0.83387,0.88232,0.89309,0.69181,0.80297,0.67137,1.48486,0.0069706,0.0069706,0.0069706
155,1922.16,0.83392,0.78,1.41189,0.89906,0.87907,0.93482,0.78224,0.64607,0.56348,1.24324,0.0069508,0.0069508,0.0069508
156,1934.28,0.81519,0.73657,1.40787,0.8336,0.81762,0.89096,0.72612,0.69737,0.67883,1.29113,0.006931,0.006931,0.006931
157,1946.36,0.81417,0.75005,1.40682,0.8273,0.89397,0.92519,0.7636,0.67551,0.55793,1.28939,0.0069112,0.0069112,0.0069112
158,1958.43,0.83002,0.75304,1.41312,0.86597,0.89879,0.94166,0.79943,0.64802,0.57575,1.25024,0.0068914,0.0068914,0.0068914
159,1970.73,0.82971,0.7664,1.40503,0.88324,0.90814,0.94595,0.80147,0.6314,0.52041,1.23279,0.0068716,0.0068716,0.0068716
160,1982.77,0.81658,0.75784,1.40316,0.8976,0.89612,0.9432,0.78628,0.66076,0.50496,1.26979,0.0068518,0.0068518,0.0068518
161,1994.85,0.80245,0.75665,1.39522,0.9153,0.90263,0.95325,0.79741,0.62571,0.4957,1.23766,0.006832,0.006832,0.006832
162,2006.99,0.81858,0.77969,1.39602,0.89489,0.91337,0.95572,0.80216,0.63027,0.468,1.23741,0.0068122,0.0068122,0.0068122
163,2019.15,0.82824,0.74931,1.39605,0.91492,0.90715,0.95507,0.80404,0.63012,0.48162,1.23943,0.0067924,0.0067924,0.0067924
164,2031.29,0.81207,0.74085,1.38959,0.8583,0.89043,0.93311,0.78332,0.63726,0.53989,1.24236,0.0067726,0.0067726,0.0067726
165,2043.41,0.81895,0.73448,1.4001,0.85714,0.88379,0.92597,0.75359,0.69019,0.58969,1.28492,0.0067528,0.0067528,0.0067528
166,2055.8,0.81355,0.76084,1.38802,0.86052,0.89596,0.92517,0.7819,0.62474,0.53328,1.2321,0.006733,0.006733,0.006733
167,2067.92,0.8018,0.74504,1.38042,0.89598,0.9333,0.95109,0.79979,0.65496,0.4895,1.24485,0.0067132,0.0067132,0.0067132
168,2079.97,0.81475,0.72928,1.39204,0.86857,0.90892,0.93823,0.79049,0.6308,0.53987,1.23055,0.0066934,0.0066934,0.0066934
169,2092.16,0.8172,0.74079,1.39135,0.9257,0.90967,0.9517,0.80223,0.64066,0.4789,1.24291,0.0066736,0.0066736,0.0066736
170,2104.4,0.81216,0.72883,1.38652,0.82408,0.78762,0.84965,0.62503,0.90904,0.79897,1.52086,0.0066538,0.0066538,0.0066538
171,2116.59,0.79029,0.71888,1.37247,0.90328,0.9292,0.95004,0.80373,0.61706,0.475,1.23036,0.006634,0.006634,0.006634
172,2128.79,0.80948,0.74877,1.3874,0.83938,0.88749,0.92768,0.78385,0.61253,0.60081,1.23693,0.0066142,0.0066142,0.0066142
173,2141.16,0.80792,0.73947,1.38796,0.88614,0.92276,0.95191,0.80697,0.61186,0.48474,1.22833,0.0065944,0.0065944,0.0065944
174,2153.36,0.80113,0.75024,1.39031,0.86111,0.90553,0.92592,0.78358,0.61961,0.53607,1.2212,0.0065746,0.0065746,0.0065746
175,2165.54,0.80171,0.71891,1.37663,0.83463,0.92922,0.92521,0.78343,0.62144,0.56101,1.22531,0.0065548,0.0065548,0.0065548
176,2177.77,0.80764,0.74026,1.38304,0.89039,0.91495,0.94303,0.78961,0.62637,0.52217,1.24487,0.006535,0.006535,0.006535
177,2190.1,0.79357,0.71254,1.38024,0.87188,0.90019,0.93338,0.78421,0.62963,0.54545,1.24918,0.0065152,0.0065152,0.0065152
178,2202.3,0.79648,0.72962,1.37281,0.90759,0.92689,0.95679,0.81768,0.61355,0.47301,1.22332,0.0064954,0.0064954,0.0064954
179,2214.47,0.80408,0.71679,1.38224,0.88014,0.89562,0.9225,0.78114,0.63037,0.52108,1.25131,0.0064756,0.0064756,0.0064756
